Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
500000000,-1.01,136.18,3.4,17.26,20.0,20.3,80.5
500998003,-1.01,135.57,3.4,17.26,20.3,20.6,80.6
501996006,-1.01,134.99,3.4,17.16,20.6,20.9,80.6
502994009,-1.03,134.41,3.5,16.89,20.9,21.2,80.6
503992012,-1.04,133.83,3.5,16.76,21.2,21.5,80.6
504990015,-1.05,133.20,3.6,16.56,21.5,21.8,80.6
505988018,-1.07,132.62,3.7,16.30,21.8,22.1,80.5
506986021,-1.09,132.02,3.8,15.90,22.1,22.5,80.4
507984024,-1.11,131.39,3.8,15.66,22.5,22.8,80.3
508982027,-1.13,130.84,3.9,15.40,22.8,23.1,80.2
509980030,-1.15,130.24,4.0,15.14,23.1,23.4,80.1
510978033,-1.17,129.61,4.1,14.90,23.4,23.8,80.1
511976036,-1.19,128.96,4.2,14.67,23.7,24.1,80.0
512974039,-1.21,128.30,4.3,14.41,24.1,24.5,79.9
513972042,-1.22,127.67,4.4,14.21,24.4,24.8,79.9
514970045,-1.26,127.06,4.5,13.83,24.7,25.1,79.7
515968048,-1.28,126.38,4.6,13.58,25.1,25.5,79.6
516966051,-1.32,125.70,4.8,13.22,25.5,25.9,79.4
517964054,-1.34,124.97,4.9,13.00,25.8,26.3,79.3
518962057,-1.37,124.26,5.0,12.73,26.2,26.7,79.2
519960060,-1.40,123.51,5.2,12.48,26.6,27.1,79.0
520958063,-1.42,122.81,5.3,12.25,27.0,27.5,78.9
521956066,-1.46,122.08,5.5,11.91,27.4,28.0,78.7
522954069,-1.49,121.34,5.6,11.72,27.8,28.4,78.6
523952072,-1.52,120.58,5.8,11.45,28.2,28.8,78.4
524950075,-1.56,119.85,5.9,11.20,28.6,29.3,78.3
525948078,-1.58,119.05,6.1,11.00,29.1,29.7,78.2
526946081,-1.61,118.24,6.2,10.85,29.6,30.2,78.1
527944084,-1.64,117.45,6.4,10.60,30.0,30.7,77.9
528942087,-1.68,116.62,6.6,10.37,30.5,31.2,77.7
529940090,-1.72,115.81,6.9,10.11,30.9,31.7,77.5
530938093,-1.75,114.99,7.0,9.98,31.4,32.2,77.4
531936096,-1.77,114.14,7.2,9.83,31.9,32.7,77.3
532934099,-1.82,113.28,7.4,9.60,32.4,33.3,77.1
533932102,-1.84,112.39,7.6,9.47,32.9,33.8,77.0
534930105,-1.86,111.52,7.8,9.39,33.5,34.4,77.0
535928108,-1.88,110.61,7.9,9.27,34.0,34.9,76.9
536926111,-1.92,109.71,8.2,9.07,34.6,35.5,76.7
537924114,-1.95,108.82,8.4,8.93,35.1,36.1,76.5
538922117,-1.98,107.86,8.6,8.82,35.7,36.7,76.4
539920120,-2.00,106.93,8.8,8.74,36.3,37.4,76.4
540918123,-2.01,106.00,9.0,8.68,36.9,38.0,76.3
541916126,-2.03,105.02,9.1,8.62,37.5,38.6,76.3
542914129,-2.04,104.07,9.3,8.57,38.2,39.3,76.3
543912132,-2.06,103.10,9.5,8.47,38.8,40.0,76.2
544910135,-2.08,102.15,9.7,8.41,39.4,40.6,76.1
545908138,-2.09,101.14,9.9,8.34,40.1,41.4,76.1
546906141,-2.11,100.17,10.2,8.28,40.8,42.0,76.0
547904144,-2.12,99.20,10.4,8.23,41.5,42.8,76.0
548902147,-2.13,98.18,10.6,8.20,42.2,43.5,76.0
549900150,-2.14,97.21,10.8,8.16,42.9,44.2,75.9
550898153,-2.15,96.20,11.0,8.12,43.7,45.0,75.9
551896156,-2.15,95.21,11.2,8.11,44.4,45.8,75.9
552894159,-2.16,94.15,11.4,8.10,45.2,46.6,75.9
553892162,-2.15,93.13,11.5,8.11,46.0,47.4,75.9
554890165,-2.14,92.06,11.7,8.14,46.8,48.3,76.0
555888168,-2.14,91.12,11.8,8.16,47.6,49.1,76.0
556886171,-2.13,90.13,12.0,8.19,48.4,49.9,76.1
557884174,-2.13,89.11,12.2,8.20,49.3,50.8,76.1
558882177,-2.11,88.21,12.3,8.26,50.0,51.5,76.2
559880180,-2.11,87.14,12.5,8.28,51.0,52.5,76.2
560878183,-2.09,86.15,12.6,8.35,51.9,53.4,76.3
561876186,-2.07,85.23,12.7,8.42,52.7,54.2,76.4
562874189,-2.06,84.23,12.9,8.47,53.6,55.2,76.5
563872192,-2.05,83.19,13.1,8.50,54.6,56.1,76.5
564870195,-2.02,82.28,13.2,8.63,55.5,57.0,76.7
565868198,-2.02,81.21,13.4,8.65,56.5,58.1,76.7
566866201,-1.99,80.29,13.5,8.77,57.5,59.0,76.8
567864204,-1.96,79.45,13.5,8.88,58.3,59.9,76.9
568862207,-1.93,78.49,13.6,9.04,59.4,60.9,77.1
569860210,-1.91,77.48,13.8,9.11,60.4,62.0,77.2
570858213,-1.89,76.54,13.9,9.22,61.5,63.0,77.3
571856216,-1.88,75.58,14.1,9.29,62.5,64.1,77.3
572854219,-1.85,74.75,14.2,9.40,63.5,65.0,77.4
573852222,-1.83,73.83,14.2,9.55,64.6,66.1,77.6
574850225,-1.80,72.93,14.3,9.71,65.7,67.2,77.7
575848228,-1.76,71.99,14.3,9.90,66.8,68.4,77.9
576846231,-1.73,71.11,14.4,10.07,68.0,69.5,78.0
577844234,-1.70,70.18,14.5,10.25,69.2,70.7,78.2
