Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
500000000,-1.24,135.78,4.2,14.01,20.2,20.6,78.4
500998003,-1.24,135.20,4.2,14.05,20.5,20.9,78.5
501996006,-1.24,134.57,4.2,14.08,20.8,21.2,78.7
502994009,-1.25,133.99,4.2,13.95,21.1,21.5,78.7
503992012,-1.26,133.43,4.3,13.80,21.4,21.8,78.7
504990015,-1.27,132.78,4.3,13.74,21.7,22.1,78.7
505988018,-1.28,132.22,4.4,13.61,22.0,22.4,78.7
506986021,-1.30,131.71,4.5,13.43,22.3,22.7,78.7
507984024,-1.31,131.20,4.5,13.26,22.5,23.0,78.6
508982027,-1.32,130.55,4.6,13.15,22.9,23.3,78.6
509980030,-1.34,129.89,4.7,12.97,23.2,23.7,78.6
510978033,-1.35,129.31,4.7,12.89,23.5,24.0,78.6
511976036,-1.38,128.71,4.9,12.64,23.8,24.3,78.5
512974039,-1.39,128.09,4.9,12.52,24.1,24.6,78.5
513972042,-1.41,127.52,5.0,12.34,24.4,25.0,78.4
514970045,-1.44,126.85,5.1,12.13,24.8,25.3,78.3
515968048,-1.46,126.28,5.3,11.94,25.1,25.6,78.2
516966051,-1.49,125.62,5.4,11.67,25.4,26.0,78.0
517964054,-1.50,124.91,5.5,11.58,25.8,26.4,78.0
518962057,-1.53,124.25,5.6,11.36,26.2,26.8,77.9
519960060,-1.56,123.51,5.7,11.20,26.6,27.2,77.8
520958063,-1.59,122.88,5.9,10.97,26.9,27.6,77.7
521956066,-1.62,122.22,6.0,10.78,27.3,27.9,77.5
522954069,-1.65,121.51,6.2,10.56,27.7,28.4,77.4
523952072,-1.67,120.80,6.3,10.41,28.1,28.8,77.3
524950075,-1.70,120.04,6.5,10.26,28.5,29.2,77.2
525948078,-1.73,119.34,6.6,10.07,28.9,29.6,77.0
526946081,-1.76,118.64,6.8,9.90,29.3,30.0,76.9
527944084,-1.79,117.84,7.0,9.74,29.7,30.5,76.8
528942087,-1.83,117.03,7.2,9.52,30.2,31.0,76.6
529940090,-1.87,116.25,7.4,9.34,30.6,31.5,76.4
530938093,-1.90,115.44,7.6,9.20,31.1,32.0,76.3
531936096,-1.93,114.70,7.8,9.05,31.5,32.4,76.2
532934099,-1.95,113.85,7.9,8.94,32.0,33.0,76.1
533932102,-1.99,113.04,8.1,8.78,32.5,33.5,75.9
534930105,-2.01,112.20,8.3,8.70,33.0,34.0,75.9
535928108,-2.04,111.31,8.5,8.54,33.5,34.5,75.7
536926111,-2.07,110.53,8.7,8.42,33.9,35.1,75.6
537924114,-2.10,109.66,8.9,8.31,34.5,35.6,75.5
538922117,-2.13,108.74,9.2,8.18,35.0,36.2,75.3
539920120,-2.15,107.85,9.3,8.13,35.6,36.8,75.3
540918123,-2.17,106.98,9.5,8.05,36.1,37.4,75.2
541916126,-2.19,106.09,9.7,7.98,36.7,38.0,75.2
542914129,-2.21,105.10,10.0,7.90,37.3,38.6,75.1
543912132,-2.23,104.20,10.1,7.85,37.9,39.2,75.0
544910135,-2.26,103.24,10.4,7.74,38.5,39.9,74.9
545908138,-2.27,102.32,10.6,7.70,39.2,40.6,74.9
546906141,-2.30,101.36,10.9,7.60,39.8,41.2,74.7
547904144,-2.31,100.37,11.1,7.55,40.5,42.0,74.7
548902147,-2.33,99.41,11.3,7.49,41.1,42.6,74.6
549900150,-2.35,98.52,11.5,7.45,41.7,43.3,74.5
550898153,-2.35,97.53,11.7,7.43,42.4,44.0,74.5
551896156,-2.35,96.52,11.9,7.42,43.2,44.8,74.6
552894159,-2.39,95.49,12.3,7.32,43.9,45.6,74.4
553892162,-2.38,94.44,12.4,7.34,44.7,46.4,74.4
554890165,-2.38,93.42,12.6,7.35,45.5,47.2,74.5
555888168,-2.37,92.55,12.8,7.37,46.2,47.9,74.5
556886171,-2.38,91.47,13.0,7.35,47.0,48.8,74.5
557884174,-2.37,90.51,13.2,7.37,47.8,49.6,74.5
558882177,-2.37,89.48,13.4,7.37,48.6,50.4,74.6
559880180,-2.37,88.50,13.6,7.38,49.4,51.3,74.6
560878183,-2.36,87.63,13.8,7.42,50.2,52.0,74.6
561876186,-2.35,86.57,14.0,7.43,51.1,53.0,74.7
562874189,-2.34,85.53,14.2,7.47,52.0,53.9,74.7
563872192,-2.31,84.61,14.3,7.56,52.9,54.8,74.9
564870195,-2.32,83.49,14.6,7.54,53.9,55.8,74.8
565868198,-2.30,82.54,14.8,7.61,54.8,56.7,74.9
566866201,-2.27,81.62,14.9,7.69,55.7,57.6,75.0
567864204,-2.25,80.78,15.0,7.77,56.5,58.5,75.1
568862207,-2.23,79.83,15.2,7.83,57.5,59.4,75.2
569860210,-2.22,78.79,15.4,7.86,58.5,60.5,75.2
570858213,-2.21,77.80,15.6,7.91,59.5,61.5,75.3
571856216,-2.17,76.82,15.7,8.05,60.6,62.6,75.5
572854219,-2.15,75.92,15.9,8.11,61.6,63.6,75.5
573852222,-2.13,75.02,16.0,8.20,62.6,64.6,75.6
574850225,-2.12,74.02,16.3,8.24,63.7,65.8,75.6
575848228,-2.07,73.14,16.3,8.44,64.8,66.8,75.9
576846231,-2.04,72.23,16.4,8.56,65.9,67.9,76.0
577844234,-2.01,71.33,16.5,8.70,67.0,69.0,76.2
578842237,-1.98,70.28,16.7,8.81,68.3,70.4,76.3
579840240,-1.94,69.36,16.7,9.00,69.6,71.6,76.5
580838243,-1.92,68.47,16.9,9.10,70.7,72.7,76.5
581836246,-1.88,67.67,16.9,9.29,71.9,73.8,76.8
582834249,-1.85,66.86,17.0,9.43,73.0,75.0,76.9
583832252,-1.82,66.03,17.1,9.59,74.2,76.1,77.0
584830255,-1.79,65.26,17.2,9.72,75.3,77.3,77.1
585828258,-1.75,64.37,17.3,9.95,76.7,78.6,77.3
586826261,-1.71,63.46,17.3,10.18,78.1,80.0,77.5
587824264,-1.67,62.62,17.4,10.41,79.5,81.3,77.7
588822267,-1.64,61.86,17.4,10.62,80.7,82.6,77.8
589820270,-1.61,61.06,17.5,10.81,82.0,83.9,78.0
590818273,-1.57,60.36,17.4,11.11,83.3,85.1,78.2
591816276,-1.55,59.52,17.6,11.25,84.7,86.5,78.3
592814279,-1.52,58.65,17.7,11.47,86.2,88.1,78.4
593812282,-1.50,57.90,17.9,11.62,87.6,89.4,78.4
594810285,-1.48,57.17,18.1,11.76,88.9,90.8,78.5
595808288,-1.45,56.38,18.2,12.04,90.5,92.3,78.6
596806291,-1.42,55.66,18.2,12.28,91.9,93.7,78.8
597804294,-1.39,54.91,18.3,12.55,93.4,95.2,78.9
598802297,-1.36,54.14,18.5,12.77,95.0,96.8,79.0
599800300,-1.34,53.43,18.6,12.99,96.5,98.3,79.1
600798303,-1.32,52.65,18.8,13.21,98.2,100.0,79.2
601796306,-1.30,51.84,19.1,13.42,100.0,101.8,79.2
602794309,-1.25,51.11,18.9,13.88,101.7,103.5,79.5
603792312,-1.25,50.38,19.3,13.95,103.3,105.1,79.4
604790315,-1.23,49.67,19.5,14.18,105.1,106.9,79.5
605788318,-1.19,48.96,19.5,14.58,106.9,108.6,79.6
606786321,-1.17,48.19,19.7,14.93,108.9,110.6,79.8
607784324,-1.14,47.48,19.7,15.32,110.8,112.5,79.9
608782327,-1.13,46.76,20.1,15.46,112.7,114.4,79.9
609780330,-1.10,46.06,20.2,15.80,114.6,116.4,80.0
610778333,-1.10,45.36,20.9,15.76,116.5,118.3,79.8
611776336,-1.07,44.53,21.0,16.20,119.0,120.8,80.0
612774339,-1.07,43.88,21.5,16.30,120.9,122.7,79.9
613772342,-1.06,43.09,22.1,16.35,123.2,125.2,79.8
614770345,-1.03,42.47,22.1,16.84,125.3,127.2,80.0
615768348,-1.02,41.66,22.6,17.10,127.9,129.9,80.0
616766351,-1.02,41.04,23.2,17.10,130.0,132.0,79.9
617764354,-0.99,40.26,23.5,17.55,132.8,134.8,80.0
618762357,-0.99,39.44,24.3,17.64,135.6,137.8,79.8
619760360,-0.98,38.60,25.2,17.71,138.7,141.0,79.7
620758363,-0.98,37.91,25.9,17.82,141.4,143.7,79.6
