Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
1000000,-0.95,-16.22,119.3,18.37,-305.3,327.7,-68.7
4373452,-1.40,-28.65,59.6,12.48,-177.1,186.8,-71.4
7746904,-1.80,-41.33,38.6,9.68,-122.0,128.0,-72.5
11120356,-2.02,-55.07,25.8,8.65,-90.2,93.8,-74.0
14493808,-2.06,-69.59,17.6,8.46,-69.0,71.2,-75.7
17867260,-1.95,-82.11,12.7,8.96,-55.8,57.2,-77.1
21240712,-1.76,-93.93,9.4,9.88,-45.8,46.7,-78.4
24614164,-1.53,-104.27,7.0,11.35,-38.4,39.0,-79.6
27987616,-1.32,-113.28,5.4,13.17,-32.7,33.1,-80.6
31361068,-1.15,-121.28,4.3,15.19,-28.0,28.3,-81.2
34734520,-1.00,-128.35,3.5,17.46,-24.1,24.4,-81.7
38107972,-0.92,-134.88,3.1,18.81,-20.7,20.9,-81.4
41481424,-0.89,-140.84,2.9,19.52,-17.7,18.0,-80.8
44854876,-0.89,-146.43,2.8,19.55,-15.0,15.3,-79.5
48228328,-0.91,-151.76,2.8,19.04,-12.5,12.8,-77.5
51601780,-0.94,-156.92,2.8,18.49,-10.2,10.6,-74.5
54975232,-1.00,-162.12,2.9,17.41,-7.8,8.4,-69.4
58348684,-1.05,-167.18,3.0,16.62,-5.6,6.4,-61.4
61722136,-1.10,-172.21,3.2,15.87,-3.4,4.6,-47.0
65095588,-1.13,-177.24,3.2,15.41,-1.2,3.5,-20.3
68469040,-1.16,177.78,3.3,15.04,1.0,3.5,16.2
71842492,-1.15,172.96,3.3,15.07,3.1,4.5,42.6
75215944,-1.15,168.17,3.3,15.16,5.2,6.1,57.1
78589396,-1.12,163.57,3.3,15.52,7.2,7.9,65.4
81962848,-1.08,159.16,3.2,16.12,9.2,9.7,70.7
85336300,-1.04,154.84,3.1,16.80,11.1,11.5,74.3
88709752,-0.98,150.82,3.0,17.75,13.0,13.3,76.9
92083204,-0.93,146.87,2.9,18.65,14.8,15.1,78.9
95456656,-0.90,143.11,2.9,19.35,16.6,16.9,80.2
98830108,-0.87,139.45,2.8,19.97,18.4,18.6,81.2
102203560,-0.86,135.99,2.9,20.22,20.1,20.4,81.9
105577012,-0.85,132.54,2.9,20.56,21.9,22.1,82.5
108950464,-0.86,129.03,3.0,20.24,23.8,24.0,82.7
112323916,-0.88,125.64,3.2,19.68,25.6,25.8,82.9
115697368,-0.94,122.28,3.5,18.55,27.5,27.7,82.7
119070820,-1.00,118.95,3.9,17.48,29.4,29.6,82.5
122444272,-1.07,115.51,4.3,16.26,31.4,31.7,82.2
125817724,-1.16,112.01,4.8,14.97,33.5,33.9,81.8
129191176,-1.25,108.50,5.4,13.90,35.7,36.1,81.3
132564628,-1.36,104.90,6.2,12.83,38.1,38.6,80.8
135938080,-1.46,101.29,7.0,11.89,40.5,41.1,80.2
139311532,-1.58,97.48,8.0,11.01,43.2,44.0,79.5
142684984,-1.68,93.48,9.0,10.37,46.2,47.1,79.0
146058436,-1.77,89.51,10.1,9.86,49.4,50.4,78.4
149431888,-1.84,85.47,11.3,9.48,52.8,54.0,77.9
152805340,-1.88,81.37,12.5,9.25,56.6,58.0,77.5
156178792,-1.92,77.18,13.9,9.10,60.7,62.3,77.1
159552244,-1.93,73.14,15.2,9.04,65.1,66.9,76.8
162925696,-1.92,69.08,16.7,9.08,70.0,71.9,76.6
166299148,-1.86,65.33,17.8,9.39,75.0,77.1,76.7
169672600,-1.82,61.52,19.3,9.60,80.6,82.9,76.5
173046052,-1.75,57.94,20.7,9.98,86.6,89.0,76.6
176419504,-1.66,54.54,21.9,10.50,92.9,95.5,76.7
179792956,-1.59,51.28,23.5,10.98,99.7,102.4,76.8
183166408,-1.51,48.24,25.1,11.51,106.8,109.7,76.8
186539860,-1.45,45.21,27.0,12.03,114.7,117.8,76.7
189913312,-1.39,42.32,29.5,12.49,123.1,126.6,76.5
193286764,-1.34,39.45,32.3,13.00,132.5,136.4,76.3
196660216,-1.31,36.61,36.4,13.24,142.8,147.4,75.7
200033668,-1.31,33.97,41.6,13.28,153.5,159.0,74.8
203407120,-1.32,31.24,48.7,13.18,165.6,172.6,73.6
206780572,-1.34,28.46,58.3,12.99,179.5,188.7,72.0
210154024,-1.38,25.63,71.7,12.64,194.9,207.7,69.8
213527476,-1.44,22.74,90.8,12.13,211.4,230.1,66.8
216900928,-1.49,19.75,117.2,11.68,229.6,257.8,63.0
220274380,-1.56,16.64,155.7,11.13,246.2,291.3,57.7
223647832,-1.65,13.35,211.7,10.59,256.5,332.6,50.5
227021284,-1.71,10.08,284.1,10.17,250.3,378.6,41.4
230394736,-1.79,6.65,370.3,9.75,207.0,424.2,29.2
233768188,-1.86,3.11,441.1,9.39,111.2,454.9,14.2
237141640,-1.91,-0.61,456.5,9.15,-22.0,457.0,-2.8
240515092,-1.94,-4.36,402.5,8.97,-135.5,424.7,-18.6
243888544,-1.96,-7.97,322.8,8.88,-196.2,377.8,-31.3
247261996,-1.96,-11.83,243.0,8.90,-219.0,327.2,-42.0
250635448,-1.93,-15.54,182.7,9.03,-218.2,284.6,-50.1
254008900,-1.90,-19.34,137.1,9.17,-205.6,247.1,-56.3
257382352,-1.85,-22.87,105.8,9.43,-191.7,219.0,-61.1
260755804,-1.77,-26.55,81.3,9.84,-176.9,194.7,-65.3
264129256,-1.69,-29.95,64.1,10.33,-163.7,175.8,-68.6
267502708,-1.61,-33.30,51.4,10.82,-151.3,159.8,-71.3
270876160,-1.53,-36.54,41.7,11.40,-140.4,146.5,-73.5
274249612,-1.47,-39.59,34.8,11.88,-130.8,135.3,-75.1
277623064,-1.41,-42.58,29.4,12.38,-122.2,125.7,-76.5
280996516,-1.36,-45.38,25.4,12.79,-114.8,117.6,-77.5
284369968,-1.32,-48.07,22.1,13.23,-108.4,110.6,-78.5
287743420,-1.30,-50.88,19.7,13.41,-102.0,103.9,-79.1
291116872,-1.31,-53.60,18.1,13.32,-96.3,98.0,-79.4
294490324,-1.35,-56.23,17.2,12.85,-91.1,92.7,-79.3
297863776,-1.40,-58.86,16.3,12.43,-86.3,87.8,-79.3
301237228,-1.47,-61.57,15.8,11.84,-81.7,83.2,-79.0
304610680,-1.55,-64.21,15.5,11.21,-77.5,79.0,-78.7
307984132,-1.65,-67.00,15.2,10.56,-73.4,74.9,-78.3
311357584,-1.77,-69.85,15.2,9.83,-69.4,71.0,-77.6
314731036,-1.90,-72.78,15.2,9.16,-65.6,67.3,-77.0
318104488,-2.02,-75.87,15.0,8.66,-61.9,63.7,-76.4
321477940,-2.16,-78.97,14.9,8.09,-58.4,60.3,-75.7
324851392,-2.29,-82.33,14.8,7.62,-55.0,56.9,-74.9
328224844,-2.42,-85.75,14.6,7.22,-51.7,53.7,-74.2
331598296,-2.53,-89.18,14.4,6.90,-48.6,50.7,-73.5
334971748,-2.64,-92.59,14.2,6.62,-45.7,47.9,-72.8
338345200,-2.71,-96.26,13.7,6.46,-42.9,45.0,-72.3
341718652,-2.78,-99.79,13.3,6.30,-40.3,42.5,-71.7
345092104,-2.82,-103.38,12.9,6.21,-37.9,40.0,-71.2
348465556,-2.85,-106.95,12.4,6.14,-35.5,37.6,-70.7
351839008,-2.86,-110.32,12.0,6.13,-33.4,35.5,-70.3
355212460,-2.83,-113.73,11.4,6.19,-31.4,33.4,-70.1
358585912,-2.84,-117.05,11.0,6.18,-29.5,31.5,-69.5
361959364,-2.80,-120.04,10.5,6.27,-27.9,29.8,-69.3
365332816,-2.76,-123.20,10.1,6.35,-26.2,28.1,-68.9
368706268,-2.72,-126.14,9.7,6.45,-24.6,26.5,-68.5
372079720,-2.68,-129.09,9.3,6.54,-23.1,24.9,-68.0
375453172,-2.62,-131.91,8.9,6.68,-21.7,23.5,-67.6
378826624,-2.57,-134.57,8.6,6.81,-20.4,22.1,-67.1
382200076,-2.52,-137.25,8.3,6.95,-19.1,20.8,-66.6
385573528,-2.46,-139.83,7.9,7.12,-17.9,19.6,-66.1
388946980,-2.40,-142.36,7.6,7.28,-16.7,18.3,-65.4
392320432,-2.34,-144.81,7.3,7.47,-15.5,17.2,-64.7
395693884,-2.29,-147.25,7.1,7.64,-14.4,16.1,-63.8
399067336,-2.24,-149.63,6.9,7.80,-13.3,15.0,-62.7
402440788,-2.20,-151.98,6.7,7.95,-12.3,14.0,-61.4
405814240,-2.16,-154.31,6.5,8.09,-11.2,13.0,-59.9
409187692,-2.13,-156.59,6.4,8.19,-10.2,12.0,-58.0
412561144,-2.12,-158.86,6.3,8.25,-9.2,11.1,-55.7
415934596,-2.10,-161.15,6.2,8.32,-8.2,10.2,-53.0
419308048,-2.10,-163.54,6.2,8.29,-7.1,9.4,-49.2
422681500,-2.10,-165.95,6.1,8.31,-6.1,8.6,-44.8
426054952,-2.11,-168.46,6.1,8.28,-5.0,7.9,-39.2
429428404,-2.13,-170.94,6.1,8.21,-3.9,7.3,-32.5
432801856,-2.14,-173.55,6.2,8.16,-2.8,6.7,-24.3
