Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
1000000,-0.94,-16.76,112.0,18.53,-298.4,318.8,-69.4
4373452,-1.41,-29.14,58.3,12.35,-174.2,183.7,-71.5
7746904,-1.81,-41.66,38.2,9.65,-121.0,126.9,-72.5
11120356,-2.02,-55.19,25.7,8.64,-90.0,93.6,-74.1
14493808,-2.09,-69.64,17.8,8.37,-68.8,71.1,-75.5
17867260,-1.98,-82.14,12.9,8.81,-55.7,57.2,-76.9
21240712,-1.80,-94.06,9.6,9.67,-45.7,46.6,-78.2
24614164,-1.58,-104.42,7.2,11.03,-38.3,38.9,-79.3
27987616,-1.37,-113.50,5.6,12.70,-32.5,33.0,-80.2
31361068,-1.17,-121.55,4.4,14.81,-27.8,28.2,-81.0
34734520,-1.03,-128.69,3.6,16.94,-23.9,24.2,-81.4
38107972,-0.94,-135.26,3.2,18.49,-20.5,20.8,-81.2
41481424,-0.90,-141.15,2.9,19.39,-17.6,17.8,-80.6
44854876,-0.89,-146.71,2.8,19.63,-14.9,15.2,-79.5
48228328,-0.89,-152.11,2.7,19.48,-12.4,12.7,-77.6
51601780,-0.92,-157.23,2.8,18.80,-10.0,10.4,-74.6
54975232,-0.97,-162.33,2.8,18.00,-7.7,8.3,-69.8
58348684,-1.02,-167.35,3.0,17.00,-5.5,6.3,-61.7
61722136,-1.07,-172.41,3.1,16.29,-3.3,4.5,-47.0
65095588,-1.11,-177.40,3.2,15.74,-1.1,3.4,-19.5
68469040,-1.13,177.66,3.3,15.39,1.0,3.4,17.4
71842492,-1.15,172.80,3.3,15.13,3.1,4.6,43.3
75215944,-1.14,168.08,3.3,15.32,5.2,6.2,57.6
78589396,-1.11,163.41,3.3,15.64,7.3,8.0,65.8
81962848,-1.08,158.95,3.2,16.05,9.3,9.8,70.8
85336300,-1.03,154.59,3.1,16.83,11.2,11.7,74.5
88709752,-0.99,150.50,3.0,17.55,13.1,13.5,76.9
92083204,-0.94,146.48,3.0,18.44,15.0,15.3,78.9
95456656,-0.90,142.71,2.9,19.36,16.8,17.1,80.3
98830108,-0.88,138.96,2.9,19.81,18.7,18.9,81.2
102203560,-0.86,135.49,2.9,20.33,20.4,20.6,82.0
105577012,-0.84,132.03,2.9,20.65,22.2,22.4,82.6
108950464,-0.85,128.52,3.0,20.45,24.0,24.2,82.9
112323916,-0.87,125.12,3.2,19.91,25.9,26.1,83.0
115697368,-0.93,121.79,3.5,18.77,27.7,27.9,82.8
119070820,-0.98,118.46,3.8,17.79,29.6,29.9,82.7
122444272,-1.06,115.05,4.3,16.47,31.7,31.9,82.3
125817724,-1.15,111.58,4.8,15.13,33.8,34.1,81.9
129191176,-1.24,108.15,5.4,14.02,35.9,36.4,81.4
132564628,-1.35,104.50,6.2,12.86,38.3,38.8,80.8
135938080,-1.46,100.88,7.0,11.93,40.8,41.4,80.2
139311532,-1.59,97.12,8.1,10.94,43.5,44.2,79.5
142684984,-1.69,93.17,9.1,10.31,46.5,47.4,78.9
146058436,-1.78,89.19,10.3,9.77,49.6,50.7,78.3
149431888,-1.87,85.17,11.6,9.32,53.1,54.3,77.7
152805340,-1.93,81.03,12.9,9.05,56.8,58.3,77.2
156178792,-1.97,76.86,14.3,8.87,61.0,62.6,76.8
159552244,-1.99,72.79,15.8,8.79,65.4,67.3,76.4
162925696,-1.98,68.77,17.3,8.83,70.2,72.3,76.2
166299148,-1.94,64.97,18.7,9.01,75.3,77.6,76.1
169672600,-1.90,61.12,20.4,9.17,80.9,83.4,75.8
173046052,-1.84,57.55,22.0,9.47,86.8,89.6,75.8
176419504,-1.76,54.13,23.5,9.88,93.2,96.1,75.8
179792956,-1.70,50.83,25.4,10.26,100.0,103.2,75.8
183166408,-1.64,47.86,27.4,10.63,106.9,110.3,75.6
186539860,-1.58,44.76,29.8,11.05,114.9,118.7,75.5
189913312,-1.54,41.90,32.8,11.31,123.0,127.3,75.1
193286764,-1.49,39.07,36.1,11.69,132.2,137.0,74.7
196660216,-1.47,36.18,41.1,11.83,142.4,148.2,73.9
200033668,-1.48,33.60,47.1,11.78,152.4,159.5,72.8
203407120,-1.50,30.84,55.5,11.62,164.0,173.1,71.3
206780572,-1.53,28.06,66.5,11.39,176.7,188.8,69.4
