Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
1000000,-1.55,-8.88,320.8,11.24,-276.1,423.2,-40.7
3993013,-1.48,-20.77,107.5,11.78,-223.0,247.5,-64.3
6986026,-1.78,-33.64,54.7,9.80,-146.9,156.8,-69.6
9979039,-2.01,-47.39,33.3,8.69,-105.2,110.3,-72.4
12972052,-2.07,-60.55,22.4,8.43,-81.1,84.1,-74.6
15965065,-2.01,-73.41,15.7,8.70,-64.7,66.5,-76.3
18958078,-1.81,-84.61,11.3,9.62,-53.6,54.8,-78.1
21951091,-1.58,-94.76,8.3,11.05,-45.3,46.1,-79.6
24944104,-1.34,-103.66,6.2,12.99,-38.9,39.4,-80.9
27937117,-1.14,-111.45,4.8,15.20,-33.9,34.2,-81.9
30930130,-1.00,-118.48,3.9,17.39,-29.6,29.9,-82.5
33923143,-0.88,-124.68,3.2,19.65,-26.1,26.3,-82.9
36916156,-0.83,-130.45,2.9,20.96,-23.0,23.2,-82.8
39909169,-0.82,-135.90,2.7,21.17,-20.2,20.4,-82.3
42902182,-0.82,-140.93,2.7,21.07,-17.7,17.9,-81.4
45895195,-0.87,-145.83,2.7,20.09,-15.3,15.6,-79.9
48888208,-0.92,-150.61,2.8,18.94,-13.1,13.4,-77.8
51881221,-0.98,-155.24,2.9,17.80,-10.9,11.3,-74.9
54874234,-1.04,-159.96,3.1,16.68,-8.8,9.3,-70.6
57867247,-1.11,-164.53,3.3,15.63,-6.8,7.5,-64.3
60860260,-1.16,-169.13,3.4,14.94,-4.7,5.8,-54.5
63853273,-1.22,-173.74,3.5,14.27,-2.7,4.4,-37.7
66846286,-1.25,-178.30,3.6,13.93,-0.7,3.7,-11.6
69839299,-1.26,177.26,3.6,13.84,1.2,3.8,18.2
72832312,-1.25,172.86,3.6,13.93,3.1,4.8,40.7
75825325,-1.22,168.66,3.5,14.23,4.9,6.1,54.3
78818338,-1.18,164.56,3.5,14.73,6.7,7.6,62.9
81811351,-1.12,160.60,3.3,15.52,8.5,9.1,68.7
84804364,-1.07,156.80,3.2,16.28,10.2,10.7,72.6
87797377,-1.00,153.28,3.0,17.35,11.8,12.2,75.6
90790390,-0.94,149.78,2.9,18.57,13.5,13.8,77.9
93783403,-0.88,146.55,2.8,19.77,15.0,15.2,79.6
96776416,-0.84,143.36,2.7,20.76,16.5,16.7,80.8
99769429,-0.81,140.38,2.6,21.53,18.0,18.2,81.7
102762442,-0.80,137.50,2.7,21.71,19.4,19.6,82.2
105755455,-0.78,134.55,2.6,22.28,20.9,21.1,82.8
108748468,-0.80,131.63,2.8,21.67,22.4,22.6,82.9
111741481,-0.84,128.73,3.0,20.70,23.9,24.1,82.9
114734494,-0.90,125.86,3.3,19.34,25.5,25.7,82.7
117727507,-0.97,122.99,3.6,17.89,27.0,27.3,82.4
120720520,-1.06,119.93,4.0,16.47,28.8,29.0,82.0
123713533,-1.16,116.83,4.6,14.97,30.6,30.9,81.4
126706546,-1.26,113.66,5.2,13.76,32.4,32.8,80.9
129699559,-1.38,110.40,5.9,12.64,34.4,34.9,80.4
132692572,-1.49,106.92,6.6,11.72,36.6,37.2,79.8
135685585,-1.59,103.39,7.4,10.98,39.0,39.7,79.3
138678598,-1.69,99.79,8.2,10.31,41.4,42.2,78.8
141671611,-1.77,95.94,9.1,9.84,44.2,45.2,78.3
144664624,-1.82,92.13,10.0,9.56,47.2,48.2,78.0
147657637,-1.86,88.28,10.9,9.35,50.3,51.5,77.8
150650650,-1.87,84.48,11.7,9.33,53.7,54.9,77.7
