Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
1000000,-1.55,-9.82,293.0,11.21,-277.7,403.7,-43.5
3993013,-1.58,-22.63,97.5,11.06,-205.8,227.8,-64.6
6986026,-1.84,-34.49,53.8,9.49,-142.8,152.6,-69.4
9979039,-2.07,-47.12,34.6,8.43,-105.3,110.8,-71.8
12972052,-2.20,-59.75,24.2,7.94,-81.7,85.3,-73.5
15965065,-2.22,-72.25,17.8,7.85,-65.4,67.8,-74.8
18958078,-2.11,-83.72,13.3,8.27,-54.0,55.6,-76.1
21951091,-1.92,-94.18,10.1,9.09,-45.4,46.6,-77.4
24944104,-1.68,-103.46,7.8,10.37,-38.9,39.6,-78.7
27937117,-1.46,-111.69,6.1,11.92,-33.6,34.1,-79.7
30930130,-1.27,-119.01,4.9,13.65,-29.2,29.6,-80.4
33923143,-1.11,-125.39,4.0,15.68,-25.7,26.0,-81.1
36916156,-0.99,-131.36,3.4,17.54,-22.5,22.8,-81.3
39909169,-0.93,-136.77,3.1,18.76,-19.7,20.0,-81.1
42902182,-0.89,-141.76,2.9,19.62,-17.3,17.5,-80.6
45895195,-0.86,-146.53,2.7,20.11,-15.0,15.2,-79.8
48888208,-0.87,-151.08,2.7,19.98,-12.9,13.1,-78.3
51881221,-0.90,-155.51,2.7,19.21,-10.8,11.2,-75.9
54874234,-0.95,-160.09,2.8,18.23,-8.7,9.2,-72.1
57867247,-1.01,-164.43,3.0,17.24,-6.8,7.4,-66.5
60860260,-1.07,-168.84,3.1,16.31,-4.9,5.8,-57.5
63853273,-1.13,-173.37,3.3,15.40,-2.9,4.3,-41.5
66846286,-1.18,-177.80,3.4,14.72,-1.0,3.5,-15.7
69839299,-1.22,177.74,3.5,14.27,1.0,3.6,15.6
72832312,-1.24,173.34,3.6,13.99,2.9,4.6,38.9
75825325,-1.24,168.98,3.6,14.06,4.8,6.0,53.2
78818338,-1.23,164.71,3.6,14.09,6.7,7.6,61.6
81811351,-1.20,160.49,3.5,14.51,8.6,9.3,67.5
84804364,-1.15,156.47,3.5,15.08,10.4,10.9,71.5
87797377,-1.10,152.60,3.4,15.80,12.1,12.6,74.6
90790390,-1.04,148.88,3.2,16.77,13.9,14.2,77.0
93783403,-0.97,145.34,3.1,17.87,15.5,15.8,78.8
96776416,-0.93,141.93,3.0,18.78,17.2,17.5,80.2
99769429,-0.87,138.72,2.9,19.99,18.8,19.0,81.4
102762442,-0.83,135.66,2.8,20.85,20.3,20.5,82.2
105755455,-0.80,132.64,2.7,21.72,21.9,22.0,82.9
108748468,-0.79,129.63,2.8,22.12,23.5,23.6,83.3
111741481,-0.79,126.72,2.9,21.92,25.0,25.2,83.5
114734494,-0.83,123.86,3.1,20.99,26.6,26.8,83.4
117727507,-0.87,121.03,3.3,19.88,28.2,28.4,83.3
120720520,-0.94,118.15,3.7,18.49,29.8,30.1,83.0
123713533,-1.02,115.23,4.1,16.98,31.6,31.8,82.6
126706546,-1.12,112.29,4.7,15.52,33.3,33.7,82.0
129699559,-1.23,109.27,5.3,14.15,35.2,35.6,81.4
132692572,-1.35,106.06,6.0,12.94,37.3,37.8,80.8
135685585,-1.46,102.84,6.8,11.95,39.4,40.0,80.2
138678598,-1.59,99.51,7.8,10.97,41.7,42.4,79.4
141671611,-1.70,95.92,8.8,10.27,44.3,45.2,78.8
144664624,-1.79,92.31,9.8,9.74,47.1,48.1,78.3
147657637,-1.88,88.66,10.9,9.29,50.0,51.2,77.7
150650650,-1.94,85.00,12.0,9.01,53.1,54.4,77.3
153643663,-1.97,81.23,13.1,8.86,56.6,58.1,77.0
156636676,-1.99,77.38,14.3,8.75,60.4,62.1,76.6
159629689,-1.99,73.79,15.5,8.76,64.3,66.1,76.5
162622702,-1.96,70.18,16.6,8.88,68.5,70.5,76.4
165615715,-1.91,66.82,17.6,9.11,72.9,75.0,76.4
168608728,-1.86,63.39,18.8,9.36,77.7,80.0,76.4
