Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
1000000,-0.86,-14.99,127.7,20.14,-331.8,355.5,-69.0
4373452,-1.38,-26.87,66.2,12.59,-187.3,198.7,-70.5
7746904,-1.84,-40.50,40.7,9.47,-123.9,130.4,-71.8
11120356,-2.04,-55.13,26.0,8.54,-90.0,93.6,-73.9
14493808,-2.00,-70.26,16.8,8.74,-68.3,70.4,-76.2
17867260,-1.82,-82.72,11.8,9.59,-55.4,56.6,-78.0
21240712,-1.58,-94.40,8.4,11.04,-45.6,46.4,-79.6
24614164,-1.32,-104.46,6.0,13.19,-38.4,38.9,-81.1
27987616,-1.10,-113.10,4.5,15.86,-32.8,33.2,-82.2
31361068,-0.95,-120.80,3.6,18.39,-28.3,28.5,-82.8
34734520,-0.84,-127.59,3.0,20.76,-24.5,24.7,-83.1
38107972,-0.80,-133.94,2.7,21.80,-21.2,21.4,-82.7
41481424,-0.80,-139.74,2.6,21.64,-18.3,18.5,-81.8
44854876,-0.84,-145.28,2.6,20.72,-15.6,15.8,-80.4
48228328,-0.90,-150.63,2.8,19.39,-13.1,13.4,-78.1
51601780,-0.97,-155.90,2.9,17.86,-10.6,11.0,-74.6
54975232,-1.05,-161.22,3.1,16.51,-8.2,8.8,-69.3
58348684,-1.13,-166.39,3.3,15.43,-5.9,6.8,-61.1
61722136,-1.18,-171.59,3.4,14.73,-3.7,5.0,-47.0
65095588,-1.23,-176.73,3.5,14.12,-1.4,3.8,-21.9
68469040,-1.25,178.13,3.6,13.89,0.8,3.7,12.7
71842492,-1.25,173.19,3.6,13.89,3.0,4.7,39.3
75215944,-1.21,168.44,3.5,14.33,5.0,6.1,55.0
78589396,-1.18,163.75,3.4,14.80,7.1,7.9,64.1
81962848,-1.11,159.36,3.3,15.64,9.1,9.6,70.0
85336300,-1.04,155.17,3.1,16.73,11.0,11.4,74.1
88709752,-0.97,151.22,3.0,17.97,12.8,13.1,76.9
92083204,-0.90,147.41,2.8,19.34,14.6,14.8,79.1
95456656,-0.85,143.82,2.7,20.49,16.3,16.5,80.6
98830108,-0.81,140.42,2.6,21.47,17.9,18.1,81.7
102203560,-0.79,137.12,2.6,21.97,19.6,19.8,82.4
105577012,-0.78,133.95,2.7,22.23,21.2,21.4,82.9
108950464,-0.81,130.59,2.8,21.55,22.9,23.1,83.0
112323916,-0.85,127.34,3.0,20.43,24.7,24.9,83.0
115697368,-0.92,124.06,3.4,18.81,26.5,26.7,82.7
119070820,-1.02,120.78,3.9,17.06,28.3,28.6,82.2
