Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
1000000,-0.82,-15.83,111.7,21.15,-321.6,340.4,-70.8
4373452,-1.36,-27.92,61.0,12.82,-182.0,191.9,-71.5
7746904,-1.81,-41.07,39.2,9.62,-122.6,128.7,-72.3
11120356,-2.03,-55.28,25.8,8.58,-89.7,93.4,-74.0
14493808,-2.04,-70.27,17.2,8.56,-68.2,70.3,-75.9
17867260,-1.87,-82.85,12.1,9.33,-55.2,56.5,-77.7
21240712,-1.65,-94.71,8.7,10.59,-45.3,46.1,-79.2
24614164,-1.38,-104.87,6.3,12.60,-38.1,38.6,-80.6
27987616,-1.15,-113.66,4.7,15.14,-32.5,32.8,-81.8
31361068,-0.99,-121.47,3.7,17.64,-27.9,28.1,-82.4
34734520,-0.84,-128.36,3.0,20.66,-24.1,24.3,-82.9
38107972,-0.78,-134.65,2.6,22.16,-20.8,21.0,-82.8
41481424,-0.77,-140.48,2.5,22.67,-17.9,18.1,-82.1
44854876,-0.78,-145.92,2.5,22.16,-15.3,15.5,-80.8
48228328,-0.84,-151.21,2.6,20.77,-12.8,13.1,-78.7
51601780,-0.90,-156.39,2.7,19.42,-10.4,10.8,-75.5
54975232,-0.96,-161.63,2.8,18.04,-8.1,8.5,-70.6
58348684,-1.04,-166.72,3.0,16.69,-5.8,6.5,-62.4
61722136,-1.11,-171.87,3.2,15.66,-3.5,4.8,-47.8
65095588,-1.17,-177.03,3.4,14.90,-1.3,3.6,-21.0
68469040,-1.19,177.91,3.4,14.58,0.9,3.5,14.8
71842492,-1.21,172.95,3.5,14.39,3.1,4.6,41.3
75215944,-1.19,168.08,3.4,14.67,5.2,6.2,56.4
78589396,-1.15,163.33,3.4,15.07,7.3,8.0,65.1
81962848,-1.10,158.82,3.3,15.86,9.3,9.9,70.7
85336300,-1.02,154.47,3.1,17.05,11.3,11.7,74.7
88709752,-0.96,150.43,2.9,18.15,13.2,13.5,77.4
92083204,-0.88,146.54,2.8,19.71,15.0,15.2,79.5
95456656,-0.83,142.85,2.6,21.06,16.8,17.0,81.0
