Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
1000000,0.00,-18.93,0.0,?,-300.0,300.0,-90.0
4373452,0.00,-27.22,0.0,?,-206.5,206.5,-90.0
7746904,-0.26,-37.52,7.1,67.77,-146.9,147.1,-87.2
11120356,-0.58,-49.14,9.7,29.72,-108.6,109.1,-84.9
14493808,-0.75,-61.71,8.1,23.24,-83.1,83.5,-84.4
17867260,-0.70,-72.39,5.7,25.01,-68.0,68.3,-85.2
21240712,-0.57,-82.59,3.8,30.42,-56.8,56.9,-86.2
24614164,-0.39,-91.14,2.2,44.92,-49.0,49.0,-87.4
27987616,-0.18,-98.33,0.9,95.59,-43.2,43.2,-88.8
31361068,0.00,-104.37,0.0,?,-38.8,38.8,-90.0
34734520,0.00,-109.52,0.0,?,-35.3,35.3,-90.0
38107972,0.00,-113.84,0.0,?,-32.6,32.6,-90.0
41481424,0.00,-117.56,0.0,?,-30.3,30.3,-90.0
44854876,0.00,-120.90,0.0,?,-28.3,28.3,-90.0
48228328,0.00,-123.86,0.0,?,-26.7,26.7,-90.0
51601780,0.00,-126.62,0.0,?,-25.1,25.1,-90.0
54975232,0.00,-129.26,0.0,?,-23.7,23.7,-90.0
58348684,0.00,-132.07,0.0,?,-22.2,22.2,-90.0
61722136,0.00,-134.68,0.0,?,-20.9,20.9,-90.0
65095588,0.00,-137.43,0.0,?,-19.5,19.5,-90.0
68469040,-0.07,-140.15,0.2,244.32,-18.1,18.1,-89.3
71842492,-0.13,-142.77,0.4,131.57,-16.8,16.8,-88.6
75215944,-0.18,-145.35,0.6,96.17,-15.6,15.6,-87.9
78589396,-0.22,-147.91,0.7,78.59,-14.4,14.4,-87.3
81962848,-0.21,-150.28,0.6,82.51,-13.3,13.3,-87.2
85336300,-0.20,-152.54,0.6,86.79,-12.2,12.2,-87.1
88709752,-0.16,-154.53,0.5,108.78,-11.3,11.3,-87.6
92083204,-0.12,-156.39,0.4,139.43,-10.4,10.5,-87.9
95456656,-0.07,-158.05,0.2,234.96,-9.7,9.7,-88.7
98830108,-0.04,-159.48,0.1,453.81,-9.1,9.1,-89.3
102203560,-0.01,-160.81,0.0,685.46,-8.5,8.5,-89.8
105577012,0.00,-161.98,0.0,?,-7.9,7.9,-90.0
108950464,0.00,-163.08,0.0,?,-7.4,7.4,-90.0
112323916,0.00,-164.08,0.0,?,-7.0,7.0,-90.0
115697368,-0.00,-165.09,0.0,330.94,-6.5,6.5,-90.0
119070820,-0.03,-166.11,0.1,577.01,-6.1,6.1,-89.2
122444272,-0.08,-167.12,0.2,230.29,-5.6,5.6,-87.8
125817724,-0.12,-168.17,0.4,141.25,-5.2,5.2,-86.0
129191176,-0.17,-169.29,0.5,99.58,-4.7,4.7,-83.8
132564628,-0.22,-170.54,0.6,77.46,-4.1,4.2,-81.1
135938080,-0.26,-171.86,0.8,66.88,-3.6,3.6,-78.1
139311532,-0.29,-173.17,0.8,59.35,-3.0,3.1,-74.2
142684984,-0.30,-174.58,0.9,58.60,-2.4,2.5,-70.1
146058436,-0.27,-175.94,0.8,63.62,-1.8,1.9,-66.0
149431888,-0.24,-177.28,0.7,72.83,-1.2,1.4,-59.9
152805340,-0.17,-178.52,0.5,102.31,-0.6,0.8,-52.8
156178792,-0.09,-179.59,0.2,202.03,-0.2,0.3,-35.6
159552244,0.00,179.62,0.0,?,0.2,0.2,90.0
162925696,0.00,178.86,0.0,?,0.5,0.5,90.0
166299148,0.00,178.32,0.0,?,0.7,0.7,90.0
169672600,0.00,177.96,0.0,?,0.9,0.9,90.0
173046052,0.00,177.75,0.0,?,1.0,1.0,90.0
176419504,0.00,177.59,0.0,?,1.1,1.1,90.0
179792956,0.00,177.43,0.0,?,1.1,1.1,90.0
183166408,0.00,177.22,0.0,?,1.2,1.2,90.0
186539860,0.00,176.96,0.0,?,1.3,1.3,90.0
189913312,0.00,176.66,0.0,?,1.5,1.5,90.0
193286764,0.00,176.24,0.0,?,1.6,1.6,90.0
196660216,0.00,175.70,0.0,?,1.9,1.9,90.0
200033668,-0.06,175.07,0.2,309.85,2.2,2.2,85.7
203407120,-0.14,174.30,0.4,121.87,2.5,2.5,80.6
206780572,-0.23,173.44,0.7,76.44,2.9,2.9,77.1
210154024,-0.31,172.55,0.9,55.88,3.3,3.4,74.6
213527476,-0.40,171.53,1.1,43.75,3.7,3.9,72.7
216900928,-0.46,170.47,1.3,37.67,4.2,4.4,72.2
220274380,-0.53,169.25,1.5,32.82,4.7,4.9,71.9
223647832,-0.56,168.12,1.6,30.99,5.2,5.4,72.6
227021284,-0.59,166.85,1.7,29.35,5.8,6.0,73.3
230394736,-0.61,165.60,1.8,28.45,6.3,6.6,74.2
233768188,-0.60,164.32,1.8,28.80,6.9,7.1,75.6
237141640,-0.57,163.08,1.7,30.43,7.4,7.6,77.3
240515092,-0.52,161.79,1.5,33.72,8.0,8.2,79.2
243888544,-0.44,160.77,1.3,39.15,8.5,8.6,81.2
247261996,-0.37,159.66,1.1,47.39,9.0,9.0,83.1
250635448,-0.27,158.82,0.8,65.31,9.3,9.4,85.2
254008900,-0.15,158.07,0.5,114.94,9.7,9.7,87.3
257382352,-0.04,157.41,0.1,396.06,10.0,10.0,89.2
260755804,0.00,156.89,0.0,?,10.2,10.2,90.0
264129256,0.00,156.62,0.0,?,10.3,10.3,90.0
267502708,0.00,156.41,0.0,?,10.4,10.4,90.0
270876160,0.00,156.34,0.0,?,10.5,10.5,90.0
274249612,0.00,156.28,0.0,?,10.5,10.5,90.0
277623064,0.00,156.43,0.0,?,10.4,10.4,90.0
280996516,0.00,156.41,0.0,?,10.4,10.4,90.0
284369968,0.00,156.49,0.0,?,10.4,10.4,90.0
287743420,0.00,156.41,0.0,?,10.4,10.4,90.0
291116872,0.00,156.44,0.0,?,10.4,10.4,90.0
294490324,0.00,156.35,0.0,?,10.5,10.5,90.0
297863776,0.00,156.16,0.0,?,10.6,10.6,90.0
301237228,0.00,155.93,0.0,?,10.7,10.7,90.0
304610680,-0.07,155.60,0.2,263.53,10.8,10.8,88.9
307984132,-0.17,155.10,0.5,104.42,11.0,11.0,87.4
311357584,-0.27,154.48,0.8,64.20,11.3,11.3,85.9
314731036,-0.40,153.67,1.2,43.77,11.7,11.7,84.1
318104488,-0.50,152.87,1.5,34.41,12.1,12.1,82.7
321477940,-0.62,151.85,1.9,27.93,12.5,12.7,81.4
324851392,-0.73,150.64,2.2,23.81,13.1,13.3,80.3
328224844,-0.82,149.36,2.5,21.20,13.7,13.9,79.5
331598296,-0.90,148.18,2.8,19.35,14.2,14.5,78.9
334971748,-0.94,146.64,2.9,18.59,14.9,15.2,78.9
338345200,-0.97,145.17,3.0,18.02,15.6,15.9,79.0
341718652,-0.97,143.71,3.1,17.99,16.3,16.6,79.3
345092104,-0.94,142.24,3.0,18.46,17.0,17.3,79.9
348465556,-0.89,140.80,2.9,19.61,17.8,18.0,80.8
351839008,-0.83,139.60,2.7,21.03,18.3,18.5,81.6
355212460,-0.75,138.49,2.5,23.31,18.9,19.1,82.6
358585912,-0.65,137.49,2.2,26.75,19.4,19.5,83.7
361959364,-0.55,136.83,1.8,31.60,19.8,19.8,84.7
365332816,-0.44,136.22,1.5,39.39,20.1,20.1,85.8
368706268,-0.38,135.89,1.3,45.59,20.2,20.3,86.4
372079720,-0.33,135.65,1.1,52.75,20.4,20.4,86.9
375453172,-0.31,135.52,1.0,56.21,20.4,20.5,87.1
378826624,-0.33,135.42,1.1,53.38,20.5,20.5,86.9
382200076,-0.37,135.50,1.2,47.14,20.4,20.5,86.5
385573528,-0.42,135.63,1.4,41.07,20.4,20.4,86.0
388946980,-0.54,135.55,1.8,31.94,20.4,20.5,84.9
392320432,-0.66,135.69,2.2,26.35,20.3,20.4,83.8
395693884,-0.82,135.73,2.7,21.28,20.3,20.5,82.3
399067336,-1.00,135.63,3.3,17.43,20.3,20.6,80.7
402440788,-1.20,135.55,4.0,14.46,20.3,20.7,78.8
405814240,-1.43,135.46,4.8,12.15,20.3,20.9,76.7
