Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
1000000,0.00,-19.03,0.0,?,-298.3,298.3,-90.0
4373452,0.00,-27.51,0.0,?,-204.2,204.2,-90.0
7746904,-0.24,-37.84,6.5,72.72,-145.6,145.7,-87.4
11120356,-0.55,-49.40,9.0,31.64,-108.1,108.5,-85.2
14493808,-0.69,-61.74,7.5,25.08,-83.1,83.5,-84.8
17867260,-0.65,-72.31,5.4,26.77,-68.2,68.4,-85.5
21240712,-0.54,-82.38,3.6,32.23,-57.0,57.1,-86.4
24614164,-0.37,-90.92,2.1,46.66,-49.2,49.2,-87.5
27987616,-0.18,-98.07,0.9,95.44,-43.4,43.4,-88.8
31361068,0.00,-104.16,0.0,?,-39.0,39.0,-90.0
34734520,0.00,-109.34,0.0,?,-35.4,35.4,-90.0
38107972,0.00,-113.74,0.0,?,-32.6,32.6,-90.0
41481424,0.00,-117.59,0.0,?,-30.3,30.3,-90.0
44854876,0.00,-120.92,0.0,?,-28.3,28.3,-90.0
48228328,0.00,-124.01,0.0,?,-26.6,26.6,-90.0
51601780,0.00,-126.87,0.0,?,-25.0,25.0,-90.0
54975232,0.00,-129.53,0.0,?,-23.6,23.6,-90.0
58348684,0.00,-132.36,0.0,?,-22.1,22.1,-90.0
61722136,0.00,-135.06,0.0,?,-20.7,20.7,-90.0
65095588,0.00,-137.76,0.0,?,-19.3,19.3,-90.0
68469040,-0.05,-140.47,0.2,341.57,-18.0,18.0,-89.5
71842492,-0.10,-143.07,0.3,176.59,-16.7,16.7,-88.9
75215944,-0.15,-145.57,0.5,117.90,-15.5,15.5,-88.3
78589396,-0.17,-148.03,0.5,99.44,-14.3,14.3,-87.8
81962848,-0.16,-150.32,0.5,106.61,-13.2,13.3,-87.8
85336300,-0.16,-152.48,0.5,106.42,-12.2,12.3,-87.7
88709752,-0.13,-154.43,0.4,131.30,-11.3,11.4,-88.0
92083204,-0.10,-156.24,0.3,176.40,-10.5,10.5,-88.4
95456656,-0.06,-157.85,0.2,274.69,-9.8,9.8,-88.9
98830108,-0.03,-159.30,0.1,498.31,-9.1,9.1,-89.3
102203560,-0.01,-160.60,0.0,378.96,-8.5,8.5,-89.7
105577012,-0.00,-161.81,0.0,562.79,-8.0,8.0,-89.9
108950464,0.00,-162.98,0.0,?,-7.5,7.5,-90.0
112323916,-0.02,-164.05,0.0,109.60,-7.0,7.0,-89.6
115697368,-0.03,-165.09,0.1,550.11,-6.5,6.5,-89.2
119070820,-0.06,-166.18,0.2,299.19,-6.1,6.1,-88.4
122444272,-0.09,-167.25,0.3,188.67,-5.6,5.6,-87.3
125817724,-0.13,-168.36,0.4,129.91,-5.1,5.1,-85.6
129191176,-0.18,-169.55,0.5,97.61,-4.6,4.6,-83.6
132564628,-0.22,-170.80,0.6,79.28,-4.0,4.1,-81.0
135938080,-0.24,-172.08,0.7,72.46,-3.5,3.5,-78.7
139311532,-0.26,-173.38,0.7,67.55,-2.9,3.0,-75.6
142684984,-0.26,-174.73,0.7,67.52,-2.3,2.4,-72.1
146058436,-0.22,-176.09,0.6,78.14,-1.7,1.8,-69.4
149431888,-0.17,-177.33,0.5,101.92,-1.2,1.3,-67.2
152805340,-0.12,-178.53,0.3,148.58,-0.6,0.7,-62.3
156178792,-0.03,-179.55,0.1,504.31,-0.2,0.2,-63.1
159552244,0.00,179.60,0.0,?,0.2,0.2,90.0
162925696,0.00,178.94,0.0,?,0.5,0.5,90.0
166299148,0.00,178.45,0.0,?,0.7,0.7,90.0
169672600,0.00,178.08,0.0,?,0.8,0.8,90.0
173046052,0.00,177.84,0.0,?,0.9,0.9,90.0
176419504,0.00,177.70,0.0,?,1.0,1.0,90.0
179792956,0.00,177.53,0.0,?,1.1,1.1,90.0
183166408,0.00,177.32,0.0,?,1.2,1.2,90.0
186539860,0.00,176.99,0.0,?,1.3,1.3,90.0
189913312,0.00,176.61,0.0,?,1.5,1.5,90.0
193286764,0.00,176.22,0.0,?,1.7,1.7,90.0
196660216,0.00,175.64,0.0,?,1.9,1.9,90.0
200033668,-0.06,174.97,0.2,293.34,2.2,2.2,85.6
203407120,-0.15,174.16,0.4,113.88,2.5,2.6,80.2
