1000000	-0.76	87.93	4.5	22.96	51.6	51.8	85.0
3001001	0.00	82.56	0.0	?	57.0	57.0	90.0
5002002	0.00	77.05	0.0	?	62.8	62.8	90.0
7003003	0.00	73.00	0.0	?	67.6	67.6	90.0
9004004	0.00	69.50	0.0	?	72.1	72.1	90.0
11005005	0.00	67.43	0.0	?	74.9	74.9	90.0
13006006	0.00	65.24	0.0	?	78.1	78.1	90.0
15007007	-0.19	62.43	2.1	90.54	82.5	82.5	88.6
17008008	-0.25	60.71	2.8	68.71	85.3	85.4	88.1
19009009	-0.36	58.98	4.2	48.70	88.3	88.4	87.3
21010010	-0.41	57.31	5.2	41.94	91.3	91.4	86.8
23011011	-0.47	55.68	6.2	37.04	94.4	94.6	86.3
25012012	-0.53	54.20	7.3	32.87	97.3	97.5	85.7
27013013	-0.56	52.77	8.2	30.89	100.3	100.6	85.3
29014014	-0.60	51.35	9.1	29.19	103.4	103.8	85.0
31015015	-0.62	50.08	9.9	28.00	106.3	106.7	84.7
33016016	-0.64	48.86	10.7	27.15	109.2	109.7	84.4
35017017	-0.65	47.72	11.3	26.85	112.1	112.7	84.2
37018018	-0.65	46.64	11.9	26.70	115.0	115.6	84.1
39019019	-0.64	45.54	12.1	27.28	118.0	118.7	84.1
41020020	-0.63	44.42	12.6	27.50	121.3	122.0	84.1
43021021	-0.63	43.36	13.2	27.51	124.6	125.3	83.9
45022022	-0.65	42.39	14.1	26.86	127.6	128.3	83.7
47023023	-0.65	41.48	14.7	26.92	130.6	131.4	83.6
49024024	-0.66	40.64	15.6	26.33	133.4	134.3	83.3
51025025	-0.66	39.81	16.3	26.18	136.4	137.4	83.2
53026026	-0.68	39.00	17.2	25.74	139.3	140.4	83.0
55027027	-0.69	38.26	18.2	25.29	142.1	143.2	82.7
57028028	-0.71	37.51	19.4	24.60	144.9	146.2	82.4
59029029	-0.73	36.83	20.6	23.91	147.6	149.0	82.0
61030030	-0.76	36.18	22.2	22.96	150.1	151.7	81.6
