Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
1000000000,-13.39,134.58,35.4,1.54,11.3,37.2,17.7
1002205069,-9.63,124.94,30.0,1.98,18.2,35.1,31.3
1004410138,-7.20,116.88,25.5,2.55,24.6,35.4,43.9
1006615207,-5.47,109.59,21.8,3.28,30.6,37.6,54.5
1008820276,-4.22,103.88,18.6,4.20,35.7,40.2,62.5
1011025345,-3.26,98.92,15.7,5.39,40.3,43.2,68.7
1013230414,-2.50,94.93,12.9,7.01,44.2,46.0,73.7
1015435483,-1.92,91.71,10.6,9.10,47.4,48.6,77.4
1017640552,-1.49,89.18,8.6,11.67,50.0,50.7,80.2
1019845621,-1.14,86.84,6.9,15.24,52.4,52.8,82.5
1022050690,-0.88,84.92,5.5,19.84,54.3,54.6,84.2
1024255759,-0.66,83.60,4.3,26.17,55.7,55.9,85.6
1026460828,-0.53,82.10,3.6,32.48,57.3,57.4,86.4
1028665897,-0.40,80.85,2.7,43.27,58.6,58.7,87.3
1030870966,-0.32,80.07,2.2,54.32,59.5,59.5,87.9
1033076035,-0.26,79.03,1.9,66.48,60.6,60.6,88.2
1035281104,-0.26,78.10,1.9,66.02,61.6,61.6,88.2
1037486173,-0.27,77.14,2.0,64.93,62.7,62.7,88.2
1039691242,-0.32,76.34,2.4,54.89,63.6,63.6,87.9
1041896311,-0.40,75.29,3.0,43.96,64.7,64.8,87.3
1044101380,0.00,148.68,0.0,?,14.0,14.0,90.0
1046306449,0.00,137.71,0.0,?,19.3,19.3,90.0
1048511518,0.00,68.09,0.0,?,74.0,74.0,90.0
1050716587,-0.15,61.28,1.7,113.31,84.4,84.4,88.8
1052921656,-0.09,60.74,1.0,197.04,85.3,85.3,89.3
1055126725,0.00,60.49,0.0,?,85.7,85.7,90.0
1057331794,0.00,59.95,0.0,?,86.7,86.7,90.0
1059536863,0.00,59.56,0.0,?,87.4,87.4,90.0
1061741932,0.00,59.43,0.0,?,87.6,87.6,90.0
1063947001,0.00,59.56,0.0,?,87.4,87.4,90.0
1066152070,0.00,58.99,0.0,?,88.4,88.4,90.0
1068357139,0.00,58.86,0.0,?,88.6,88.6,90.0
1070562208,0.00,58.60,0.0,?,89.1,89.1,90.0
1072767277,0.00,58.51,0.0,?,89.3,89.3,90.0
1074972346,0.00,58.13,0.0,?,90.0,90.0,90.0
1077177415,0.00,58.01,0.0,?,90.2,90.2,90.0
1079382484,-0.07,57.70,0.9,234.36,90.8,90.8,89.4
1081587553,-0.16,57.33,2.0,107.92,91.4,91.4,88.7
1083792622,-0.24,56.62,3.1,70.91,92.7,92.8,88.1
1085997691,-0.33,56.07,4.3,52.09,93.7,93.8,87.3
1088202760,-0.44,55.41,5.9,39.06,94.9,95.1,86.4
1090407829,-0.54,54.51,7.4,32.00,96.6,96.9,85.6
1092612898,-0.63,53.69,8.9,27.44,98.2,98.6,84.8
1094817967,-0.72,52.81,10.5,23.99,99.8,100.4,84.0
1097023036,-0.82,51.75,12.2,21.29,101.9,102.6,83.2
1099228105,-0.88,50.65,13.6,19.86,104.2,105.1,82.6
1101433174,-0.96,49.55,15.5,18.06,106.5,107.6,81.7
1103638243,-1.03,48.43,17.3,16.84,108.9,110.2,80.9
1105843312,-1.09,47.10,19.2,15.97,112.0,113.6,80.3
1108048381,-1.11,45.88,20.6,15.63,115.0,116.9,79.9
1110253450,-1.14,44.47,22.3,15.24,118.7,120.8,79.3
1112458519,-1.14,43.07,23.7,15.22,122.7,125.0,79.1
1114663588,-1.17,42.11,25.2,14.91,125.5,128.0,78.6
1116868657,-1.19,40.64,27.4,14.66,130.0,132.8,78.1
1119073726,-1.17,39.36,28.5,14.92,134.5,137.5,78.0
1121278795,-1.14,38.16,29.7,15.22,138.9,142.0,77.9
1123483864,-1.12,36.70,31.4,15.50,144.6,148.0,77.8
1125688933,-1.07,35.60,31.8,16.23,149.6,153.0,78.0
1127894002,-1.01,34.46,32.1,17.14,155.2,158.5,78.3
1130099071,-0.98,33.47,32.7,17.80,160.2,163.5,78.4
1132304140,-0.92,32.46,32.6,18.98,165.8,169.0,78.9
1134509209,-0.86,31.38,32.9,20.13,172.2,175.3,79.2
1136714278,-0.81,30.48,32.8,21.45,177.9,180.9,79.6
1138919347,-0.76,29.73,32.4,22.81,183.0,185.9,80.0
1141124416,-0.71,28.77,32.3,24.42,189.8,192.5,80.3
1143329485,-0.65,28.03,31.0,26.86,195.7,198.1,81.0
