Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
1000000,-1.54,-8.88,321.1,11.28,-277.4,424.4,-40.8
3993013,-1.48,-20.75,107.6,11.80,-223.3,247.9,-64.3
6986026,-1.76,-33.67,54.3,9.88,-147.1,156.8,-69.7
9979039,-2.00,-47.43,33.1,8.75,-105.2,110.3,-72.5
12972052,-2.05,-60.58,22.2,8.50,-81.1,84.1,-74.7
15965065,-1.98,-73.33,15.6,8.81,-64.8,66.6,-76.5
18958078,-1.80,-84.52,11.3,9.67,-53.7,54.9,-78.1
21951091,-1.56,-94.66,8.2,11.16,-45.4,46.1,-79.7
24944104,-1.33,-103.52,6.2,13.06,-39.0,39.5,-81.0
27937117,-1.14,-111.33,4.8,15.25,-33.9,34.3,-82.0
30930130,-0.99,-118.37,3.9,17.51,-29.7,29.9,-82.6
33923143,-0.88,-124.56,3.2,19.66,-26.2,26.4,-82.9
36916156,-0.83,-130.38,2.9,20.87,-23.0,23.2,-82.8
39909169,-0.82,-135.84,2.8,21.14,-20.2,20.4,-82.3
42902182,-0.84,-140.92,2.7,20.78,-17.7,17.9,-81.3
45895195,-0.87,-145.84,2.8,19.89,-15.3,15.6,-79.8
48888208,-0.93,-150.60,2.9,18.61,-13.1,13.4,-77.6
51881221,-0.99,-155.22,3.0,17.51,-10.9,11.3,-74.7
54874234,-1.06,-159.99,3.1,16.40,-8.8,9.3,-70.3
57867247,-1.13,-164.60,3.3,15.39,-6.7,7.5,-63.8
60860260,-1.19,-169.20,3.4,14.67,-4.7,5.8,-53.8
63853273,-1.23,-173.83,3.5,14.16,-2.7,4.4,-37.1
66846286,-1.25,-178.39,3.6,13.88,-0.7,3.7,-11.0
69839299,-1.26,177.15,3.6,13.76,1.2,3.8,18.8
72832312,-1.25,172.77,3.6,13.88,3.1,4.8,41.0
75825325,-1.22,168.56,3.6,14.21,5.0,6.1,54.5
78818338,-1.18,164.42,3.4,14.80,6.8,7.6,63.2
81811351,-1.12,160.51,3.3,15.49,8.5,9.2,68.8
84804364,-1.06,156.75,3.2,16.45,10.2,10.7,72.8
87797377,-1.00,153.19,3.0,17.45,11.9,12.3,75.7
90790390,-0.93,149.73,2.9,18.70,13.5,13.8,78.0
93783403,-0.87,146.52,2.7,19.95,15.0,15.2,79.7
96776416,-0.83,143.34,2.7,20.88,16.5,16.7,80.9
99769429,-0.80,140.36,2.6,21.71,18.0,18.2,81.8
102762442,-0.79,137.45,2.6,22.07,19.4,19.6,82.4
105755455,-0.78,134.57,2.6,22.31,20.9,21.0,82.8
108748468,-0.80,131.62,2.8,21.82,22.4,22.6,83.0
111741481,-0.83,128.72,2.9,20.92,23.9,24.1,83.0
114734494,-0.89,125.81,3.2,19.55,25.5,25.7,82.8
117727507,-0.97,122.94,3.6,17.99,27.1,27.3,82.4
120720520,-1.05,119.94,4.0,16.56,28.8,29.0,82.0
123713533,-1.16,116.85,4.6,15.04,30.5,30.9,81.5
126706546,-1.26,113.61,5.2,13.78,32.5,32.9,81.0
129699559,-1.37,110.37,5.8,12.69,34.5,34.9,80.4
132692572,-1.48,106.88,6.6,11.78,36.7,37.2,79.9
135685585,-1.58,103.41,7.3,11.01,39.0,39.6,79.3
138678598,-1.69,99.76,8.2,10.33,41.5,42.3,78.8
141671611,-1.76,95.92,9.1,9.93,44.3,45.2,78.4
144664624,-1.81,92.10,9.9,9.62,47.2,48.2,78.1
147657637,-1.85,88.29,10.8,9.44,50.3,51.5,77.9
150650650,-1.85,84.46,11.6,9.41,53.7,55.0,77.8
153643663,-1.84,80.67,12.4,9.48,57.3,58.7,77.8
156636676,-1.82,76.89,13.2,9.60,61.2,62.7,77.8
159629689,-1.77,73.33,14.0,9.85,65.3,66.7,77.9
162622702,-1.70,69.76,14.7,10.23,69.7,71.2,78.1
165615715,-1.62,66.50,15.2,10.76,74.1,75.6,78.4
168608728,-1.55,63.19,15.9,11.21,79.0,80.6,78.6
171601741,-1.47,60.14,16.5,11.84,84.0,85.6,78.9
174594754,-1.39,57.23,17.0,12.55,89.2,90.8,79.2
177587767,-1.31,54.45,17.6,13.26,94.6,96.2,79.4
180580780,-1.25,51.79,18.4,13.96,100.3,101.9,79.6
183573793,-1.19,49.19,19.3,14.64,106.4,108.1,79.7
186566806,-1.13,46.70,20.3,15.34,112.7,114.6,79.8
189559819,-1.10,44.24,21.8,15.76,119.6,121.6,79.6
192552832,-1.08,41.80,23.7,16.14,127.1,129.3,79.4
195545845,-1.07,39.21,26.5,16.30,135.8,138.4,79.0
198538858,-1.07,36.91,29.8,16.19,144.3,147.4,78.3
