Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
1000000,-0.89,-15.07,130.0,19.43,-327.5,352.4,-68.3
4373452,-1.42,-27.24,66.2,12.23,-184.0,195.6,-70.2
7746904,-1.86,-40.54,41.0,9.37,-123.5,130.2,-71.6
11120356,-2.07,-54.87,26.6,8.41,-90.2,94.1,-73.6
14493808,-2.05,-69.88,17.4,8.50,-68.6,70.8,-75.7
17867260,-1.89,-82.42,12.3,9.24,-55.6,56.9,-77.5
21240712,-1.66,-94.13,8.8,10.53,-45.7,46.6,-79.1
24614164,-1.40,-104.25,6.4,12.48,-38.5,39.0,-80.6
27987616,-1.17,-113.05,4.8,14.89,-32.8,33.2,-81.7
31361068,-1.01,-120.79,3.8,17.28,-28.3,28.5,-82.3
34734520,-0.88,-127.56,3.1,19.77,-24.5,24.7,-82.7
38107972,-0.82,-133.97,2.8,21.07,-21.2,21.4,-82.5
41481424,-0.81,-139.75,2.7,21.39,-18.3,18.5,-81.7
44854876,-0.84,-145.23,2.7,20.63,-15.6,15.8,-80.3
48228328,-0.89,-150.56,2.7,19.49,-13.1,13.4,-78.2
51601780,-0.95,-155.76,2.9,18.31,-10.7,11.1,-75.1
54975232,-1.03,-160.99,3.0,16.90,-8.3,8.9,-70.0
58348684,-1.10,-166.21,3.2,15.78,-6.0,6.8,-61.9
61722136,-1.17,-171.41,3.4,14.89,-3.7,5.0,-47.9
65095588,-1.22,-176.53,3.5,14.26,-1.5,3.8,-23.2
68469040,-1.24,178.35,3.6,14.03,0.7,3.6,11.3
71842492,-1.25,173.34,3.6,13.94,2.9,4.6,38.8
75215944,-1.22,168.52,3.6,14.21,5.0,6.1,54.6
78589396,-1.19,163.79,3.5,14.67,7.1,7.9,63.9
81962848,-1.12,159.35,3.3,15.54,9.1,9.7,69.9
85336300,-1.05,154.98,3.2,16.53,11.1,11.5,74.0
88709752,-0.97,151.06,3.0,17.84,12.9,13.2,76.9
92083204,-0.90,147.19,2.8,19.25,14.7,14.9,79.1
95456656,-0.84,143.54,2.7,20.65,16.4,16.6,80.7
98830108,-0.81,140.08,2.6,21.57,18.1,18.3,81.8
102203560,-0.78,136.82,2.6,22.20,19.7,19.9,82.5
105577012,-0.76,133.54,2.6,22.74,21.4,21.6,83.1
108950464,-0.79,130.22,2.7,22.14,23.1,23.3,83.2
112323916,-0.83,126.97,3.0,21.03,24.9,25.1,83.2
115697368,-0.90,123.72,3.3,19.30,26.6,26.9,82.9
119070820,-0.98,120.47,3.8,17.66,28.5,28.7,82.5
122444272,-1.09,116.98,4.3,15.89,30.5,30.8,81.9
125817724,-1.22,113.50,5.0,14.30,32.6,32.9,81.3
129191176,-1.34,109.80,5.7,12.95,34.8,35.3,80.6
132564628,-1.47,106.00,6.6,11.83,37.3,37.8,80.0
135938080,-1.59,102.08,7.5,10.96,39.9,40.6,79.3
139311532,-1.72,98.06,8.6,10.15,42.7,43.5,78.6
142684984,-1.80,93.76,9.6,9.66,45.9,46.9,78.2
146058436,-1.86,89.61,10.6,9.39,49.2,50.3,77.8
149431888,-1.89,85.40,11.6,9.21,52.8,54.1,77.6
152805340,-1.89,81.12,12.6,9.21,56.8,58.2,77.5
156178792,-1.88,76.92,13.7,9.28,61.1,62.6,77.4
159552244,-1.83,72.94,14.6,9.53,65.6,67.2,77.5
162925696,-1.77,68.97,15.5,9.82,70.5,72.2,77.6
166299148,-1.69,65.34,16.2,10.34,75.5,77.3,77.9
169672600,-1.61,61.65,17.2,10.79,81.1,82.9,78.0
173046052,-1.52,58.27,18.0,11.43,86.9,88.7,78.3
176419504,-1.44,55.06,18.9,12.11,92.9,94.8,78.5
179792956,-1.36,51.99,19.8,12.82,99.4,101.3,78.7
183166408,-1.29,49.04,21.0,13.50,106.2,108.3,78.8
186539860,-1.22,46.16,22.3,14.22,113.7,115.8,78.9
189913312,-1.18,43.44,24.1,14.74,121.4,123.8,78.8
193286764,-1.15,40.56,26.6,15.19,130.6,133.2,78.5
196660216,-1.13,37.75,30.0,15.37,140.5,143.7,77.9
200033668,-1.15,35.17,34.6,15.17,150.6,154.5,77.1
203407120,-1.17,32.43,41.0,14.82,162.4,167.5,75.8
206780572,-1.20,29.56,49.7,14.47,176.5,183.4,74.3
210154024,-1.26,26.73,62.0,13.81,191.6,201.4,72.1
213527476,-1.32,23.69,79.7,13.16,209.5,224.2,69.2
216900928,-1.40,20.57,105.3,12.46,228.9,252.0,65.3
220274380,-1.46,17.28,142.2,11.95,250.7,288.2,60.4
223647832,-1.54,13.92,197.4,11.31,266.6,331.7,53.5
227021284,-1.61,10.44,275.9,10.83,268.3,384.9,44.2
230394736,-1.67,6.78,378.3,10.41,230.3,442.9,31.3
