Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
1000000,-1.56,-9.65,297.6,11.15,-276.0,405.9,-42.8
3993013,-1.57,-22.58,97.7,11.09,-206.3,228.3,-64.7
6986026,-1.83,-34.48,53.6,9.52,-143.0,152.7,-69.4
9979039,-2.07,-47.18,34.5,8.42,-105.1,110.6,-71.8
12972052,-2.19,-59.73,24.2,7.96,-81.8,85.3,-73.5
15965065,-2.22,-72.25,17.7,7.88,-65.4,67.8,-74.9
18958078,-2.11,-83.70,13.3,8.28,-54.0,55.6,-76.1
21951091,-1.91,-94.19,10.1,9.12,-45.4,46.6,-77.5
24944104,-1.69,-103.50,7.8,10.33,-38.8,39.6,-78.6
27937117,-1.48,-111.66,6.2,11.78,-33.6,34.1,-79.6
30930130,-1.28,-119.01,4.9,13.64,-29.2,29.6,-80.4
33923143,-1.11,-125.40,4.0,15.65,-25.7,26.0,-81.1
36916156,-1.00,-131.35,3.5,17.36,-22.5,22.8,-81.2
39909169,-0.93,-136.83,3.1,18.74,-19.7,20.0,-81.1
42902182,-0.88,-141.76,2.8,19.77,-17.3,17.5,-80.7
45895195,-0.86,-146.62,2.7,20.10,-15.0,15.2,-79.7
48888208,-0.88,-151.10,2.7,19.84,-12.8,13.1,-78.2
51881221,-0.90,-155.53,2.7,19.31,-10.8,11.1,-75.9
54874234,-0.95,-160.12,2.8,18.30,-8.7,9.2,-72.1
57867247,-1.01,-164.43,3.0,17.26,-6.8,7.4,-66.6
60860260,-1.07,-168.90,3.1,16.31,-4.8,5.7,-57.4
63853273,-1.13,-173.40,3.3,15.39,-2.9,4.3,-41.4
66846286,-1.18,-177.79,3.4,14.75,-1.0,3.5,-15.8
69839299,-1.22,177.75,3.5,14.31,1.0,3.6,15.6
72832312,-1.25,173.34,3.6,13.94,2.9,4.6,38.8
75825325,-1.24,168.99,3.6,14.01,4.8,6.0,53.1
78818338,-1.24,164.68,3.6,14.08,6.7,7.6,61.6
81811351,-1.20,160.51,3.6,14.48,8.5,9.3,67.4
84804364,-1.15,156.46,3.5,15.09,10.4,10.9,71.6
87797377,-1.10,152.61,3.4,15.78,12.1,12.6,74.5
90790390,-1.04,148.88,3.2,16.75,13.9,14.2,76.9
93783403,-0.98,145.33,3.1,17.74,15.6,15.9,78.8
