Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
1000000,-1.02,-13.42,172.4,17.00,-338.8,380.2,-63.0
4373452,-1.47,-25.35,76.9,11.83,-193.4,208.1,-68.3
7746904,-1.92,-39.66,43.7,9.09,-125.3,132.7,-70.8
11120356,-2.09,-54.88,26.8,8.36,-90.1,94.0,-73.5
14493808,-1.98,-70.13,16.8,8.81,-68.5,70.5,-76.3
17867260,-1.78,-82.59,11.6,9.77,-55.6,56.8,-78.2
21240712,-1.52,-94.08,8.1,11.47,-45.9,46.6,-80.0
24614164,-1.27,-103.89,5.9,13.74,-38.8,39.2,-81.4
27987616,-1.07,-112.41,4.4,16.28,-33.3,33.6,-82.4
31361068,-0.93,-120.02,3.6,18.67,-28.7,29.0,-82.9
34734520,-0.85,-126.69,3.1,20.41,-25.0,25.2,-83.0
38107972,-0.84,-133.04,2.9,20.62,-21.7,21.9,-82.4
41481424,-0.87,-138.84,2.8,20.01,-18.7,18.9,-81.3
44854876,-0.93,-144.44,2.9,18.77,-16.0,16.3,-79.6
48228328,-1.00,-149.90,3.1,17.40,-13.4,13.7,-77.1
51601780,-1.08,-155.19,3.3,16.11,-11.0,11.4,-73.5
54975232,-1.17,-160.59,3.4,14.93,-8.5,9.2,-68.0
58348684,-1.24,-165.85,3.6,14.06,-6.2,7.2,-59.7
61722136,-1.29,-171.08,3.7,13.51,-3.9,5.4,-46.2
65095588,-1.33,-176.28,3.8,13.06,-1.6,4.2,-22.8
68469040,-1.34,178.67,3.8,13.04,0.6,3.9,8.5
71842492,-1.32,173.76,3.8,13.18,2.7,4.7,35.5
75215944,-1.28,169.02,3.7,13.62,4.8,6.0,52.2
78589396,-1.22,164.46,3.6,14.22,6.8,7.7,62.2
81962848,-1.14,160.16,3.4,15.20,8.7,9.3,68.7
85336300,-1.07,156.03,3.2,16.22,10.6,11.1,73.1
88709752,-1.01,152.17,3.1,17.30,12.3,12.7,76.0
92083204,-0.93,148.50,2.9,18.60,14.1,14.4,78.3
95456656,-0.89,144.99,2.8,19.60,15.7,16.0,79.9
98830108,-0.86,141.64,2.8,20.25,17.3,17.6,80.9
102203560,-0.85,138.43,2.8,20.57,18.9,19.1,81.6
105577012,-0.84,135.19,2.8,20.64,20.6,20.7,82.2
108950464,-0.88,131.90,3.0,19.80,22.2,22.5,82.3
112323916,-0.93,128.62,3.3,18.71,24.0,24.2,82.2
115697368,-1.02,125.34,3.7,17.00,25.7,26.0,81.8
119070820,-1.12,121.99,4.2,15.54,27.6,27.9,81.3
122444272,-1.24,118.46,4.8,14.03,29.6,30.0,80.7
125817724,-1.37,114.78,5.5,12.68,31.7,32.2,80.1
129191176,-1.50,110.92,6.3,11.61,34.0,34.6,79.5
132564628,-1.62,106.91,7.2,10.75,36.6,37.3,78.9
135938080,-1.73,102.78,8.1,10.07,39.3,40.1,78.4
139311532,-1.84,98.53,9.1,9.46,42.2,43.2,77.8
142684984,-1.90,94.03,10.1,9.18,45.6,46.7,77.5
146058436,-1.93,89.60,11.0,9.03,49.1,50.3,77.4
149431888,-1.93,85.28,11.9,9.04,52.9,54.2,77.3
152805340,-1.90,80.90,12.7,9.20,57.0,58.4,77.4
156178792,-1.84,76.63,13.5,9.46,61.5,62.9,77.6
159552244,-1.77,72.56,14.3,9.82,66.1,67.7,77.8
162925696,-1.68,68.62,14.9,10.37,71.2,72.7,78.2
166299148,-1.57,65.05,15.3,11.10,76.3,77.8,78.7
169672600,-1.48,61.43,16.0,11.74,81.9,83.4,78.9
173046052,-1.38,58.12,16.5,12.59,87.6,89.2,79.3
176419504,-1.29,54.94,17.0,13.53,93.7,95.3,79.7
179792956,-1.21,51.90,17.8,14.39,100.2,101.8,79.9
183166408,-1.15,49.04,18.8,15.12,106.9,108.5,80.0
186539860,-1.10,46.22,20.1,15.82,114.2,115.9,80.0
189913312,-1.07,43.51,21.9,16.21,121.9,123.9,79.8
193286764,-1.06,40.70,24.5,16.42,130.8,133.1,79.4
196660216,-1.06,37.79,28.3,16.35,141.0,143.8,78.7
200033668,-1.10,35.16,33.2,15.87,151.2,154.8,77.6
203407120,-1.15,32.26,40.6,15.18,163.6,168.6,76.1
206780572,-1.20,29.28,50.6,14.46,178.0,185.0,74.1
210154024,-1.27,26.35,64.1,13.69,193.6,203.9,71.7
213527476,-1.35,23.06,84.9,12.88,212.8,229.1,68.3
216900928,-1.43,19.75,114.2,12.17,233.3,259.8,63.9
220274380,-1.51,16.27,158.5,11.50,253.4,298.9,58.0
223647832,-1.59,12.66,223.8,10.97,266.7,348.2,50.0
227021284,-1.66,8.93,316.0,10.51,255.4,406.4,38.9
230394736,-1.73,5.16,419.0,10.09,188.0,459.2,24.2
233768188,-1.75,1.24,491.5,9.94,52.2,494.2,6.1
237141640,-1.75,-2.68,472.1,9.95,-108.8,484.5,-13.0
240515092,-1.74,-6.73,373.3,10.02,-217.1,431.8,-30.2
243888544,-1.70,-10.54,272.9,10.26,-253.6,372.6,-42.9
247261996,-1.66,-14.55,190.8,10.51,-249.6,314.1,-52.6
250635448,-1.58,-18.18,137.6,11.02,-234.5,271.9,-59.6
254008900,-1.49,-21.90,99.2,11.68,-214.5,236.4,-65.2
257382352,-1.37,-25.44,72.6,12.67,-196.2,209.1,-69.7
260755804,-1.26,-28.85,54.2,13.76,-179.1,187.1,-73.1
264129256,-1.17,-32.06,41.7,14.91,-164.3,169.5,-75.8
267502708,-1.07,-35.21,32.4,16.26,-151.3,154.7,-77.9
270876160,-0.96,-38.11,25.3,18.06,-140.7,143.0,-79.8
274249612,-0.89,-40.89,20.5,19.57,-131.3,132.9,-81.1
277623064,-0.84,-43.82,17.1,20.69,-122.3,123.5,-82.0
280996516,-0.78,-46.35,14.4,22.21,-115.3,116.2,-82.9
284369968,-0.76,-48.97,12.5,23.01,-108.6,109.3,-83.4
287743420,-0.75,-51.68,11.2,23.25,-102.3,102.9,-83.7
291116872,-0.78,-54.19,10.7,22.30,-96.8,97.4,-83.7
294490324,-0.84,-56.75,10.6,20.73,-91.6,92.2,-83.4
297863776,-0.91,-59.38,10.6,19.16,-86.7,87.4,-83.1
301237228,-0.99,-62.01,10.6,17.60,-82.2,82.9,-82.6
304610680,-1.10,-64.78,10.9,15.84,-77.7,78.5,-82.0
307984132,-1.21,-67.63,11.1,14.36,-73.5,74.3,-81.4
311357584,-1.34,-70.57,11.4,12.96,-69.4,70.3,-80.6
314731036,-1.49,-73.72,11.7,11.69,-65.4,66.4,-79.8
318104488,-1.62,-77.04,11.8,10.77,-61.4,62.6,-79.1
321477940,-1.78,-80.40,12.1,9.80,-57.7,59.0,-78.2
324851392,-1.93,-83.97,12.2,9.05,-54.1,55.4,-77.3
328224844,-2.06,-87.88,12.1,8.49,-50.4,51.8,-76.6
331598296,-2.18,-91.60,12.0,8.01,-47.2,48.7,-75.8
334971748,-2.29,-95.49,11.8,7.64,-44.0,45.6,-75.0
338345200,-2.35,-99.53,11.4,7.43,-41.0,42.6,-74.5
341718652,-2.41,-103.59,11.0,7.25,-38.2,39.7,-73.9
345092104,-2.45,-107.58,10.6,7.14,-35.5,37.1,-73.3
348465556,-2.46,-111.53,10.2,7.12,-33.1,34.6,-72.9
351839008,-2.44,-115.34,9.7,7.17,-30.8,32.3,-72.5
355212460,-2.41,-118.96,9.2,7.26,-28.7,30.2,-72.2
358585912,-2.40,-122.45,8.9,7.28,-26.8,28.2,-71.6
361959364,-2.36,-125.67,8.5,7.41,-25.1,26.5,-71.3
365332816,-2.34,-128.83,8.2,7.46,-23.4,24.8,-70.7
368706268,-2.34,-131.76,8.0,7.46,-21.9,23.3,-69.9
372079720,-2.36,-134.50,7.9,7.41,-20.5,22.0,-68.9
375453172,-2.38,-137.02,7.8,7.34,-19.3,20.8,-67.8
378826624,-2.43,-139.48,7.9,7.19,-18.1,19.7,-66.4
382200076,-2.51,-141.73,8.0,6.97,-16.9,18.7,-64.7
385573528,-2.59,-143.88,8.2,6.75,-15.9,17.9,-62.8
388946980,-2.70,-145.94,8.4,6.48,-14.9,17.1,-60.6
392320432,-2.81,-147.85,8.7,6.23,-14.0,16.5,-58.2
395693884,-2.92,-149.80,8.9,6.02,-13.1,15.8,-55.8
399067336,-3.02,-151.62,9.1,5.81,-12.2,15.3,-53.3
402440788,-3.11,-153.33,9.4,5.64,-11.5,14.8,-50.8
405814240,-3.19,-155.08,9.5,5.50,-10.7,14.3,-48.2
409187692,-3.26,-156.71,9.7,5.38,-9.9,13.9,-45.8
412561144,-3.31,-158.40,9.7,5.32,-9.2,13.4,-43.4
415934596,-3.32,-160.18,9.7,5.30,-8.4,12.8,-40.9
419308048,-3.32,-162.00,9.7,5.30,-7.6,12.3,-38.3
422681500,-3.28,-163.98,9.5,5.36,-6.8,11.7,-35.5
426054952,-3.25,-165.99,9.4,5.41,-5.9,11.1,-32.3
429428404,-3.19,-168.19,9.2,5.51,-5.0,10.4,-28.6
432801856,-3.13,-170.49,9.0,5.61,-4.0,9.8,-24.2
436175308,-3.05,-172.91,8.7,5.75,-3.0,9.2,-19.0
439548760,-2.97,-175.47,8.5,5.90,-1.9,8.7,-12.8
442922212,-2.88,-178.16,8.2,6.09,-0.8,8.2,-5.4
446295664,-2.76,179.22,7.9,6.34,0.3,7.9,2.4
449669116,-2.64,176.49,7.6,6.62,1.5,7.7,11.2
453042568,-2.53,173.73,7.2,6.93,2.7,7.7,20.3
456416020,-2.39,171.02,6.9,7.31,3.9,7.9,29.3
459789472,-2.25,168.44,6.5,7.75,5.0,8.2,37.4
463162924,-2.12,165.81,6.2,8.25,6.1,8.7,44.9
466536376,-1.98,163.34,5.8,8.80,7.2,9.3,51.2
469909828,-1.86,160.90,5.5,9.36,8.3,10.0,56.5
473283280,-1.75,158.63,5.2,9.95,9.3,10.7,60.9
476656732,-1.64,156.41,4.9,10.63,10.3,11.5,64.6
480030184,-1.55,154.27,4.7,11.20,11.3,12.3,67.5
483403636,-1.48,152.24,4.5,11.76,12.3,13.1,69.8
486777088,-1.43,150.18,4.4,12.20,13.2,13.9,71.6
490150540,-1.40,148.17,4.4,12.42,14.2,14.8,72.9
493523992,-1.39,146.18,4.4,12.54,15.1,15.7,73.9
496897444,-1.40,144.08,4.4,12.42,16.1,16.7,74.6
500270896,-1.45,142.12,4.7,11.99,17.0,17.7,74.7
503644348,-1.49,139.90,4.9,11.66,18.1,18.7,75.0
507017800,-1.57,137.67,5.2,11.07,19.2,19.9,74.9
510391252,-1.67,135.41,5.6,10.44,20.3,21.0,74.6
513764704,-1.76,133.04,6.0,9.88,21.5,22.3,74.4
517138156,-1.86,130.48,6.5,9.37,22.7,23.6,74.2
520511608,-1.97,127.71,7.0,8.86,24.2,25.1,73.9
523885060,-2.08,124.93,7.6,8.38,25.6,26.7,73.6
527258512,-2.18,121.86,8.1,8.00,27.2,28.4,73.4
530631964,-2.27,118.77,8.7,7.68,28.9,30.2,73.2
534005416,-2.36,115.56,9.4,7.40,30.7,32.1,73.0
537378868,-2.42,112.27,10.0,7.22,32.6,34.1,73.0
540752320,-2.47,108.92,10.5,7.09,34.7,36.2,73.1
544125772,-2.49,105.51,11.1,7.01,36.8,38.5,73.2
547499224,-2.51,102.02,11.7,6.98,39.1,40.8,73.3
550872676,-2.48,98.67,12.1,7.05,41.5,43.2,73.7
554246128,-2.45,95.15,12.7,7.13,44.1,45.9,74.0
557619580,-2.38,91.90,12.9,7.35,46.7,48.4,74.5
560993032,-2.31,88.72,13.3,7.57,49.3,51.1,74.9
564366484,-2.21,85.54,13.5,7.91,52.2,53.9,75.5
567739936,-2.11,82.54,13.6,8.28,55.1,56.8,76.1
571113388,-2.01,79.50,13.8,8.67,58.2,59.8,76.6
574486840,-1.91,76.56,14.0,9.14,61.4,63.0,77.2
577860292,-1.78,73.81,13.9,9.80,64.7,66.2,77.9
581233744,-1.67,70.94,14.0,10.44,68.3,69.7,78.4
584607196,-1.56,68.36,14.0,11.13,71.8,73.1,79.0
587980648,-1.47,65.70,14.1,11.81,75.6,76.9,79.4
591354100,-1.38,63.15,14.2,12.62,79.5,80.8,79.9
594727552,-1.31,60.58,14.6,13.28,83.7,85.0,80.1
598101004,-1.26,58.21,15.1,13.77,87.8,89.1,80.3
601474456,-1.21,55.55,15.7,14.43,92.9,94.2,80.4
604847908,-1.17,52.95,16.6,14.85,98.1,99.5,80.4
608221360,-1.12,50.32,17.5,15.48,104.0,105.5,80.4
611594812,-1.11,47.70,19.2,15.62,110.3,112.0,80.1
614968264,-1.10,44.98,21.1,15.84,117.6,119.4,79.8
618341716,-1.08,42.12,23.5,16.05,126.0,128.2,79.4
621715168,-1.08,39.17,26.9,16.07,135.8,138.5,78.8
625088620,-1.05,36.03,30.6,16.50,148.1,151.2,78.3
